longitude,latitude,sea_temperature
-76.85,12.21,27.288918
-76.85,12.46,27.323227
-76.6,-4.29,0.0
-76.6,-4.04,0.0
-76.6,-3.79,0.0
-76.6,-3.54,0.0
-76.6,-3.29,0.0
-76.6,-3.04,0.0
-76.6,-2.79,0.0
-76.6,-2.54,0.0
-76.6,-2.29,0.0
-76.6,-2.04,0.0
-76.6,-1.79,0.0
-76.6,-1.54,0.0
-76.6,-1.29,0.0
-76.6,-1.04,0.0
-76.6,-0.79,0.0
-76.6,-0.54,0.0
-76.6,-0.29,0.0
-76.6,-0.04,0.0
-76.6,0.21,0.0
-76.6,0.46,0.0
-76.6,0.71,0.0
-76.6,0.96,0.0
-76.6,1.21,0.0
-76.6,1.46,0.0
-76.6,1.71,0.0
-76.6,1.96,0.0
-76.6,2.21,0.0
-76.6,2.46,0.0
-76.6,2.71,0.0
-76.6,2.96,0.0
-76.6,3.21,0.0
-76.6,3.46,0.0
-76.6,3.71,0.0
-76.6,3.96,0.0
-76.6,4.21,0.0
-76.6,4.46,0.0
-76.6,4.71,0.0
-76.6,4.96,0.0
-76.6,5.21,0.0
-76.6,5.46,0.0
-76.6,5.71,0.0
-76.6,5.96,0.0
-76.6,6.21,0.0
-76.6,6.46,0.0
-76.6,6.71,0.0
-76.6,6.96,0.0
-76.6,7.21,0.0
-76.6,7.46,0.0
-76.6,7.71,0.0
-76.6,7.96,0.0
-76.6,8.21,0.0
-76.6,8.46,0.0
-76.6,8.71,28.407015
-76.6,8.96,28.391968
-76.6,9.21,28.382578
-76.6,9.46,28.303368
-76.6,9.71,28.212238
-76.6,9.96,28.126528
-76.6,10.21,28.009638
-76.6,10.46,27.992542
-76.6,10.71,27.929222
-76.6,10.96,27.848928
-76.6,11.21,27.754431
-76.6,11.46,27.571333
-76.6,11.71,27.32118
-76.6,11.96,27.225355
-76.6,12.21,27.255692
-76.6,12.46,27.278324
-76.35,-4.29,0.0
-76.35,-4.04,0.0
-76.35,-3.79,0.0
-76.35,-3.54,0.0
-76.35,-3.29,0.0
-76.35,-3.04,0.0
-76.35,-2.79,0.0
-76.35,-2.54,0.0
-76.35,-2.29,0.0
-76.35,-2.04,0.0
-76.35,-1.79,0.0
-76.35,-1.54,0.0
-76.35,-1.29,0.0
-76.35,-1.04,0.0
-76.35,-0.79,0.0
-76.35,-0.54,0.0
-76.35,-0.29,0.0
-76.35,-0.04,0.0
-76.35,0.21,0.0
-76.35,0.46,0.0
-76.35,0.71,0.0
-76.35,0.96,0.0
-76.35,1.21,0.0
-76.35,1.46,0.0
-76.35,1.71,0.0
-76.35,1.96,0.0
-76.35,2.21,0.0
-76.35,2.46,0.0
-76.35,2.71,0.0
-76.35,2.96,0.0
-76.35,3.21,0.0
-76.35,3.46,0.0
-76.35,3.71,0.0
-76.35,3.96,0.0
-76.35,4.21,0.0
-76.35,4.46,0.0
-76.35,4.71,0.0
-76.35,4.96,0.0
-76.35,5.21,0.0
-76.35,5.46,0.0
-76.35,5.71,0.0
-76.35,5.96,0.0
-76.35,6.21,0.0
-76.35,6.46,0.0
-76.35,6.71,0.0
-76.35,6.96,0.0
-76.35,7.21,0.0
-76.35,7.46,0.0
-76.35,7.71,0.0
-76.35,7.96,0.0
-76.35,8.21,0.0
-76.35,8.46,0.0
-76.35,8.71,0.0
-76.35,8.96,0.0
-76.35,9.21,28.613829
-76.35,9.46,28.661018
-76.35,9.71,28.539555
-76.35,9.96,28.349955
-76.35,10.21,28.148075
-76.35,10.46,28.016258
-76.35,10.71,27.913452
-76.35,10.96,27.774174
-76.35,11.21,27.610094
-76.35,11.46,27.312391
-76.35,11.71,27.09643
-76.35,11.96,27.127247
-76.35,12.21,27.166611
-76.35,12.46,27.323107
-76.1,-4.29,0.0
-76.1,-4.04,0.0
-76.1,-3.79,0.0
-76.1,-3.54,0.0
-76.1,-3.29,0.0
-76.1,-3.04,0.0
-76.1,-2.79,0.0
-76.1,-2.54,0.0
-76.1,-2.29,0.0
-76.1,-2.04,0.0
-76.1,-1.79,0.0
-76.1,-1.54,0.0
-76.1,-1.29,0.0
-76.1,-1.04,0.0
-76.1,-0.79,0.0
-76.1,-0.54,0.0
-76.1,-0.29,0.0
-76.1,-0.04,0.0
-76.1,0.21,0.0
-76.1,0.46,0.0
-76.1,0.71,0.0
-76.1,0.96,0.0
-76.1,1.21,0.0
-76.1,1.46,0.0
-76.1,1.71,0.0
-76.1,1.96,0.0
-76.1,2.21,0.0
-76.1,2.46,0.0
-76.1,2.71,0.0
-76.1,2.96,0.0
-76.1,3.21,0.0
-76.1,3.46,0.0
-76.1,3.71,0.0
-76.1,3.96,0.0
-76.1,4.21,0.0
-76.1,4.46,0.0
-76.1,4.71,0.0
-76.1,4.96,0.0
-76.1,5.21,0.0
-76.1,5.46,0.0
-76.1,5.71,0.0
-76.1,5.96,0.0
-76.1,6.21,0.0
-76.1,6.46,0.0
-76.1,6.71,0.0
-76.1,6.96,0.0
-76.1,7.21,0.0
-76.1,7.46,0.0
-76.1,7.71,0.0
-76.1,7.96,0.0
-76.1,8.21,0.0
-76.1,8.46,0.0
-76.1,8.71,0.0
-76.1,8.96,0.0
-76.1,9.21,0.0
-76.1,9.46,28.902622
-76.1,9.71,28.798492
-76.1,9.96,28.526552
-76.1,10.21,28.257502
-76.1,10.46,28.048641
-76.1,10.71,27.788858
-76.1,10.96,27.596371
-76.1,11.21,27.292891
-76.1,11.46,26.990854
-76.1,11.71,26.871798
-76.1,11.96,26.926331
-76.1,12.21,27.157343
-76.1,12.46,27.303844
-75.85,-4.29,0.0
-75.85,-4.04,0.0
-75.85,-3.79,0.0
-75.85,-3.54,0.0
-75.85,-3.29,0.0
-75.85,-3.04,0.0
-75.85,-2.79,0.0
-75.85,-2.54,0.0
-75.85,-2.29,0.0
-75.85,-2.04,0.0
-75.85,-1.79,0.0
-75.85,-1.54,0.0
-75.85,-1.29,0.0
-75.85,-1.04,0.0
-75.85,-0.79,0.0
-75.85,-0.54,0.0
-75.85,-0.29,0.0
-75.85,-0.04,0.0
-75.85,0.21,0.0
-75.85,0.46,0.0
-75.85,0.71,0.0
-75.85,0.96,0.0
-75.85,1.21,0.0
-75.85,1.46,0.0
-75.85,1.71,0.0
-75.85,1.96,0.0
-75.85,2.21,0.0
-75.85,2.46,0.0
-75.85,2.71,0.0
-75.85,2.96,0.0
-75.85,3.21,0.0
-75.85,3.46,0.0
-75.85,3.71,0.0
-75.85,3.96,0.0
-75.85,4.21,0.0
-75.85,4.46,0.0
-75.85,4.71,0.0
-75.85,4.96,0.0
-75.85,5.21,0.0
-75.85,5.46,0.0
-75.85,5.71,0.0
-75.85,5.96,0.0
-75.85,6.21,0.0
-75.85,6.46,0.0
-75.85,6.71,0.0
-75.85,6.96,0.0
-75.85,7.21,0.0
-75.85,7.46,0.0
-75.85,7.71,0.0
-75.85,7.96,0.0
-75.85,8.21,0.0
-75.85,8.46,0.0
-75.85,8.71,0.0
-75.85,8.96,0.0
-75.85,9.21,0.0
-75.85,9.46,0.0
-75.85,9.71,29.087526
-75.85,9.96,28.932478
-75.85,10.21,28.500069
-75.85,10.46,27.948004
-75.85,10.71,27.669081
-75.85,10.96,27.36861
-75.85,11.21,27.026487
-75.85,11.46,26.750334
-75.85,11.71,26.685207
-75.85,11.96,26.854704
-75.85,12.21,27.127365
-75.85,12.46,27.242693
-75.6,-4.29,0.0
-75.6,-4.04,0.0
-75.6,-3.79,0.0
-75.6,-3.54,0.0
-75.6,-3.29,0.0
-75.6,-3.04,0.0
-75.6,-2.79,0.0
-75.6,-2.54,0.0
-75.6,-2.29,0.0
-75.6,-2.04,0.0
-75.6,-1.79,0.0
-75.6,-1.54,0.0
-75.6,-1.29,0.0
-75.6,-1.04,0.0
-75.6,-0.79,0.0
-75.6,-0.54,0.0
-75.6,-0.29,0.0
-75.6,-0.04,0.0
-75.6,0.21,0.0
-75.6,0.46,0.0
-75.6,0.71,0.0
-75.6,0.96,0.0
-75.6,1.21,0.0
-75.6,1.46,0.0
-75.6,1.71,0.0
-75.6,1.96,0.0
-75.6,2.21,0.0
-75.6,2.46,0.0
-75.6,2.71,0.0
-75.6,2.96,0.0
-75.6,3.21,0.0
-75.6,3.46,0.0
-75.6,3.71,0.0
-75.6,3.96,0.0
-75.6,4.21,0.0
-75.6,4.46,0.0
-75.6,4.71,0.0
-75.6,4.96,0.0
-75.6,5.21,0.0
-75.6,5.46,0.0
-75.6,5.71,0.0
-75.6,5.96,0.0
-75.6,6.21,0.0
-75.6,6.46,0.0
-75.6,6.71,0.0
-75.6,6.96,0.0
-75.6,7.21,0.0
-75.6,7.46,0.0
-75.6,7.71,0.0
-75.6,7.96,0.0
-75.6,8.21,0.0
-75.6,8.46,0.0
-75.6,8.71,0.0
-75.6,8.96,0.0
-75.6,9.21,0.0
-75.6,9.46,0.0
-75.6,9.71,0.0
-75.6,9.96,0.0
-75.6,10.21,0.0
-75.6,10.46,27.790785
-75.6,10.71,27.328402
-75.6,10.96,27.051287
-75.6,11.21,26.824368
-75.6,11.46,26.563984
-75.6,11.71,26.645481
-75.6,11.96,26.829905
-75.6,12.21,27.021311
-75.6,12.46,27.138561
-75.35,-4.29,0.0
